日期_Date,市盈率_PE,每股收益(摊薄)(元/股)_EPS,每股公积金(元/股)_AccumFundPS,每股营业利润(元/股)_OpPrfPS,每股净资产(元/股)_NAPS,调整后每股净资产(元/股)_NAPSadj,每股营业收入(元/股)_IncomePS
2017/10/13,31.26,0.18,2.09,0.34,4.8,,17.03
2017/10/20,31.37,0.18,2.09,0.34,4.8,,17.03
2017/10/27,31.62,0.24,2.09,0.39,4.76,,25.89
2017/11/3,31.58,0.24,2.09,0.39,4.76,,25.89
2017/11/10,32.63,0.24,2.09,0.39,4.76,,25.89
2017/11/17,30.63,0.24,2.09,0.39,4.76,,25.89
2017/11/24,30.56,0.24,2.09,0.39,4.76,,25.89
2017/12/1,30.91,0.24,2.09,0.39,4.76,,25.89
2017/12/8,29.59,0.24,2.09,0.39,4.76,,25.89
2017/12/15,29.43,0.24,2.09,0.39,4.76,,25.89
2017/12/22,29.5,0.24,2.09,0.39,4.76,,25.89
2017/12/29,29.97,0.24,2.09,0.39,4.76,,25.89
2018/1/5,30.14,0.24,2.09,0.39,4.76,,25.89
2018/1/12,29.64,0.24,2.09,0.39,4.76,,25.89
2018/1/19,29.16,0.24,2.09,0.39,4.76,,25.89
2018/1/26,26.92,0.24,2.09,0.39,4.76,,25.89
2018/2/2,25.5,0.24,2.09,0.39,4.76,,25.89
2018/2/9,22.65,0.24,2.09,0.39,4.76,,25.89
2018/2/14,23.41,0.24,2.09,0.39,4.76,,25.89
2018/2/23,23.7,0.24,2.09,0.39,4.76,,25.89
2018/3/2,23.75,0.24,2.09,0.39,4.76,,25.89
2018/3/9,24.67,0.24,2.09,0.39,4.76,,25.89
2018/3/16,25.41,0.24,2.09,0.39,4.76,,25.89
2018/3/23,24.85,0.24,2.09,0.39,4.76,,25.89
2018/3/30,,0.35,2.13,0.82,4.88,,32.95
2018/4/4,22.62,0.35,2.13,0.82,4.88,,32.95
2018/4/13,22.34,0.35,2.13,0.82,4.88,,32.95
2018/4/20,21.53,0.35,2.13,0.82,4.88,,32.95
2018/4/27,21.79,0.07,2.13,0.15,4.95,,8.29
2018/5/4,21.5,0.07,2.13,0.15,4.95,,8.29
2018/5/11,21.79,0.07,2.13,0.15,4.95,,8.29
2018/5/18,21.37,0.07,2.13,0.15,4.95,,8.29
2018/5/25,20.94,0.07,2.13,0.15,4.95,,8.29
2018/6/1,19.81,0.07,2.13,0.15,4.95,,8.29
2018/6/8,20.18,0.07,2.13,0.15,4.95,,8.29
2018/6/15,19.82,0.07,2.13,0.15,4.95,,8.29
2018/6/22,18.55,0.07,2.13,0.15,4.95,,8.29
2018/6/29,19.77,0.07,2.13,0.15,4.95,,8.29
2018/7/6,20.62,0.07,1.04,0.07,4.95,,4.06
2018/7/13,20.55,0.07,1.04,0.07,4.95,,4.06
2018/7/20,20.93,0.07,1.04,0.07,4.95,,4.06
2018/7/27,21.4,0.07,1.04,0.07,4.95,,4.06
2018/8/3,20.66,0.07,1.04,0.07,4.95,,4.06
2018/8/10,21.06,0.07,1.04,0.07,4.95,,4.06
2018/8/17,20.66,0.07,1.04,0.07,4.95,,4.06
2018/8/24,20.98,0.21,1.04,0.2,5.09,,9.42
2018/8/31,21.17,0.21,1.04,0.2,5.09,,9.42
2018/9/7,21.11,0.21,1.04,0.2,5.09,,9.42
2018/9/14,20.98,0.21,1.04,0.2,5.09,,9.42
2018/9/21,21.49,0.21,1.04,0.2,5.09,,9.42
2018/9/28,22.3,0.21,1.04,0.2,5.09,,9.42
2018/10/12,19.28,0.21,1.04,0.2,5.09,,9.42
2018/10/19,18.88,0.21,1.04,0.2,5.09,,9.42
2018/10/26,19.86,0.29,1.04,0.32,5.17,,13.32
2018/11/2,20.34,0.29,1.04,0.32,5.17,,13.32
2018/11/9,19.66,0.29,1.04,0.32,5.17,,13.32
2018/11/16,21.18,0.29,1.04,0.32,5.17,,13.32
2018/11/23,19.67,0.29,1.04,0.32,5.17,,13.32
2018/11/30,20.1,0.29,1.04,0.32,5.17,,13.32
2018/12/7,19.85,0.29,1.04,0.32,5.17,,13.32
2018/12/14,19.79,0.29,1.04,0.32,5.17,,13.32
2018/12/21,19.56,0.29,1.04,0.32,5.17,,13.32
2018/12/28,19.33,0.29,1.04,0.32,5.17,,13.32
2019/1/4,17.35,0.29,1.04,0.32,5.17,,13.32
2019/1/11,17.25,0.29,1.04,0.32,5.17,,13.32
2019/1/18,17.23,0.29,1.04,0.32,5.17,,13.32
2019/1/25,16.53,0.29,1.04,0.32,5.17,,13.32
2019/2/1,16.68,0.29,1.04,0.32,5.17,,13.32
2019/2/15,17.15,0.29,1.04,0.32,5.17,,13.32
2019/2/22,17.37,0.29,1.04,0.32,5.17,,13.32
2019/3/1,18.57,0.29,1.04,0.32,5.17,,13.32
2019/3/8,18.32,0.29,1.04,0.32,5.17,,13.32
2019/3/15,18.24,0.29,1.04,0.32,5.17,,13.32
2019/3/22,18.59,0.29,1.04,0.32,5.17,,13.32
2019/3/29,18.72,0.29,1.04,0.32,5.17,,13.32
2019/4/4,17.79,0.47,1.09,0.61,5.35,,18.19
2019/4/12,17.37,0.47,1.09,0.61,5.35,,18.19
2019/4/19,17.33,0.47,1.09,0.61,5.35,,18.19
2019/4/26,16.97,0.09,1.09,0.11,5.44,,4.89
2019/4/30,17.03,0.09,1.09,0.11,5.44,,4.89
2019/5/10,16.25,0.09,1.09,0.11,5.44,,4.89
2019/5/17,15.87,0.09,1.09,0.11,5.44,,4.89
2019/5/24,16.06,0.09,1.09,0.11,5.44,,4.89
2019/5/31,16.02,0.09,1.09,0.11,5.44,,4.89
2019/6/6,15.73,0.09,1.09,0.11,5.44,,4.89
2019/6/14,15.68,0.09,1.09,0.11,5.44,,4.89
2019/6/21,15.83,0.09,1.09,0.11,5.44,,4.89
2019/6/28,15.52,0.09,1.09,0.11,5.44,,4.89
2019/7/5,14.49,0.09,1.09,0.11,5.44,,4.89
2019/7/12,14.05,0.09,1.09,0.11,5.44,,4.89
2019/7/19,13.61,0.09,1.09,0.11,5.44,,4.89
2019/7/26,13.45,0.09,1.09,0.11,5.44,,4.89
2019/8/2,13.23,0.09,1.09,0.11,5.44,,4.89
2019/8/9,11.97,0.27,1.09,0.34,5.51,,10.5
2019/8/16,12.56,0.27,1.09,0.34,5.51,,10.5
2019/8/23,12.89,0.27,1.09,0.34,5.51,,10.5
2019/8/30,12.66,0.27,1.09,0.34,5.51,,10.5
2019/9/6,13.28,0.27,1.09,0.34,5.51,,10.5
2019/9/12,14.09,0.27,1.09,0.34,5.51,,10.5
2019/9/20,13.91,0.27,1.09,0.34,5.51,,10.5
2019/9/27,13.95,0.27,1.09,0.34,5.51,,10.5
2019/9/30,14.07,0.27,1.09,0.34,5.51,,10.5
